KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
CAN-1  265.27   62.48   11.99    3.73  31   7.689   0.618   7.072
CAN-2  265.73   58.58    2.48    1.92  23   8.763   0.224   8.539
CAN-3  276.44   53.47    3.73    3.48  17   8.007   0.316   7.691
CAN-4  281.83   53.12    1.42    2.39  36   8.453   0.141   8.312
CAN-5  283.07   56.06    1.95    2.33  94   7.822   0.150   7.672
CAN-6  281.40   58.91    2.92    2.08  21   8.213   0.246   7.967
CAN-7  281.96   62.18    2.93    1.09  21   8.142   2.505   5.637
CAN-8  285.10   62.19    2.68    0.57  40  11.953   0.270  11.683
CAN-9  287.22   61.97    0.92    0.62  15   8.405   1.750   6.654
CAN-10  290.27   59.53    2.52    1.45  21   7.699   1.720   5.979
CAN-11  291.04   58.43    2.20    1.25  11   7.492   1.113   6.378
CAN-12  296.23   59.21    2.21    2.43  18  10.023   0.212   9.810
CAN-13  299.01   56.61    5.50    1.90  17   8.631   0.427   8.204
CAN-14  299.65   53.80    0.66    1.49  12   8.711   0.852   7.859
CAN-15  302.36   54.15    2.02    1.04  14   9.652   0.728   8.924
CAN-16  303.34   51.04    1.96    1.32  56  14.877   0.427  14.450
CAN-17  302.12   49.79    0.82    1.04  16  14.661   0.348  14.313
CAN-18  301.33   48.39    2.33    1.13  46  16.384   0.322  16.062
CAN-19  306.28   47.31    1.46    0.96  13  10.622   0.141  10.481
CAN-20  305.11   49.42    2.50    1.06  29  14.123   0.151  13.972
CAN-21  296.03   49.79    1.44    0.29  24  16.323   0.215  16.108
CAN-22  291.63   48.46    3.21    1.63  90  14.705   0.178  14.527
CAN-23  290.70   48.44    1.58    1.25  59  11.897   0.821  11.076
CAN-24  289.00   46.88    2.61    1.11  69  13.168   0.464  12.704
CAN-25  294.39   47.82    1.90    0.37  15  14.578   0.247  14.331
CAN-26  298.27   47.44    0.39    0.35  22  10.826   0.141  10.684
CAN-27  297.12   46.12    2.49    1.16  31  14.483   0.832  13.652
CAN-28  299.23   46.11    0.51    0.18  16  12.106   0.818  11.288
CAN-29  295.77   45.72    1.39    0.75  112  14.249   0.145  14.104
CAN-30  296.74   44.70    1.26    0.42  47  12.886   0.141  12.746
CAN-31  299.99   43.95    0.45    0.16  10  12.399   0.512  11.886
CAN-32  294.15   43.82    1.69    0.93  11   5.829   0.967   4.862
CAN-33  294.14   44.55    0.88    0.51  7  15.710   0.783  14.927
CAN-34  293.38   45.10    1.13    0.70  28  15.582   0.141  15.441
