KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
Eastern Maine  292.29   44.57    0.64    0.25  49  11.026   0.154  10.872
Southern Maine  289.89   43.56    1.75    1.12  86  10.438   0.143  10.295
Northern Massacusetts  289.11   42.59    0.69    0.48  43   7.850   0.137   7.713
Southern Massachusetts  289.51   41.60    1.03    0.60  43  10.534   0.238  10.296
Connecticut  287.48   41.27    1.14    0.21  96   7.912   0.128   7.784
New York  286.05   41.17    0.13    0.89  76  10.863   0.744  10.119
Long Island  286.72   40.86    1.99    0.73  25   8.997   0.259   8.738
New Jersey  285.58   39.58    0.64    1.27  61   9.872   0.133   9.739
Inner Delaware  284.59   39.14    0.37    0.54  38   8.653   0.230   8.423
Outer Delaware  284.89   38.74    0.18    0.16  60   8.284   0.137   8.147
Inner Chesapeake  283.65   38.56    0.35    0.97  106  10.523   0.026  10.496
Eastern Shore  284.30   37.53    0.43    0.66  28   5.926   0.113   5.813
Northern North Carolina  284.33   35.81    0.76    0.99  60  11.419   0.143  11.276
Southern North Carolina  283.09   34.64    1.80    1.39  24  11.669   0.150  11.519
Northern South Carolina  280.86   33.45    0.40    0.38  18  10.853   2.174   8.679
Southern South Carolina  279.61   32.68    1.10    0.80  23   6.384   0.720   5.664
