KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1407  273.89   71.78    0.28    0.11  17   8.775   0.116   8.659
4101  287.46   41.27    1.14    0.14  33   7.660   0.128   7.532
1621  290.13   60.88    0.36    0.32  34   7.886   0.259   7.627
4080  293.04   45.09    0.78    0.57  14  15.644   0.652  14.992
4091  289.15   42.58    0.69    0.48  15   7.850   0.137   7.713
4118  284.89   38.74    0.15    0.15  23   8.284   0.137   8.147
4050  289.53   47.07    0.86    0.76  121  12.874   0.101  12.773
4034  290.30   48.12    0.22    0.16  44  13.121   0.639  12.482
4074  296.58   44.66    1.29    0.84  26  16.388   0.005  16.383
4099  287.47   41.27    0.18    0.01  25   7.021   0.134   6.887
1301  266.12   72.27    0.61    0.27  4   9.907   0.830   9.077
1633  282.55   55.46    1.96    0.70  35   8.199   0.087   8.112
1132  284.33   78.90    1.13    0.10  13   8.424   0.598   7.826
1623  285.86   62.21    0.93    0.33  32   9.991   0.601   9.390
4112  286.76   40.84    1.52    0.43  15   8.997   0.259   8.738
4123  283.63   38.64    0.34    0.97  32  10.523   0.139  10.384
1647  276.28   64.56    3.35    1.05  23   8.297   0.601   7.696
1643  265.47   58.54    2.48    1.63  10   8.568   0.162   8.406
1484  280.76   69.05    0.00    0.00  1   0.600   0.600   0.000
4015  304.17   47.51    0.00    0.00  1   0.677   0.677   0.000
4111  286.49   40.65    0.00    0.00  1   0.259   0.259   0.000
1619  290.00   59.34    0.71    1.43  20   8.170   0.351   7.819
4006  306.10   49.40    0.57    0.17  9  13.440   0.178  13.262
4051  290.47   47.82    0.66    0.52  24  13.489   0.340  13.149
1684  236.19   69.78    2.07    0.84  9  13.411   0.594  12.817
1610  298.54   56.65    0.98    1.20  23   8.515   0.947   7.568
4098  288.11   41.34    0.09    0.04  3   2.978   0.128   2.850
1174  271.05   80.37    2.42    0.28  7   9.379   0.358   9.021
4001  304.20   51.48    1.36    0.56  37  11.504   0.241  11.263
2009  289.38   76.78    0.59    0.29  3   9.945   0.920   9.025
4116  285.37   39.23    0.09    0.12  5   2.530   0.137   2.393
4117  285.62   39.66    0.61    1.26  17   9.140   0.137   9.003
1246  258.70   76.81    0.01    0.00  2   2.732   0.803   1.929
4014  304.52   46.93    0.18    0.02  3   9.007   0.867   8.140
4064  295.72   45.78    0.00    0.00  19   2.957   0.372   2.585
1316  262.62   73.81    0.70    0.14  6  10.823   0.707  10.116
1634  282.01   54.42    8.12    6.92  97   8.556   0.115   8.441
4094  289.45   41.57    1.03    0.60  23  10.441   0.238  10.203
1663  267.65   70.15    0.22    0.33  4   9.652   0.777   8.875
1410  274.39   72.64    0.27    0.13  6   7.877   0.607   7.270
1628  282.26   60.38    2.23    0.72  9   8.260   0.307   7.953
1642  266.34   56.61    2.11    1.01  15   8.402   0.637   7.765
1461  291.69   63.59    1.33    0.41  21   9.875   0.522   9.353
4030  295.25   50.28    2.04    0.13  11   8.831   0.801   8.030
1613  296.38   59.06    0.41    0.26  7  11.068   0.130  10.938
1313  262.88   72.83    0.72    0.28  8   9.860   0.320   9.540
1404  273.17   72.73    0.27    0.04  8  10.145   0.822   9.323
1645  264.86   63.85    8.47    2.00  6   7.239   0.590   6.649
1329  253.66   69.49    2.22    0.27  11   9.391   0.973   8.418
1302  266.41   72.82    1.01    0.21  9  10.114   0.666   9.448
4087  290.08   43.67    1.76    1.12  39  10.438   0.476   9.962
4026  302.67   51.45    0.79    0.18  29  11.424   0.520  10.904
1347  241.16   71.71    0.69    0.32  18  13.032   0.822  12.210
4086  289.43   43.30    0.01    0.03  14   5.058   0.246   4.812
1146  272.46   76.40    0.13    0.03  11  10.404   0.067  10.337
1258  239.97   76.62    5.60    1.42  7  13.348   0.583  12.765
4085  290.17   43.72    0.40    0.12  21  10.438   0.578   9.860
1405  273.73   72.41    0.07    0.07  13  10.027   0.405   9.622
1447  294.56   67.74    0.45    0.40  7   9.908   0.458   9.450
1235  262.49   74.57    0.18    0.05  5  10.401   0.481   9.920
1337  242.74   69.98    0.28    0.27  22  12.786   0.152  12.634
1414  279.37   73.03    0.00    0.00  12   2.333   0.784   1.549
1336  243.20   69.66    0.65    0.13  14  12.213   0.174  12.039
1340  246.53   70.24    1.35    0.13  12  11.729   0.593  11.136
4109  287.54   41.03    0.29    0.02  2   8.347   0.801   7.546
1226  266.51   76.33    1.23    0.21  8   9.187   0.641   8.546
4093  289.13   41.38    0.28    0.24  9  10.534   0.853   9.681
1678  244.81   67.85    2.40    0.49  15  11.142   0.760  10.382
4025  302.67   50.66    1.01    0.65  29  14.683   0.601  14.082
4067  297.44   46.13    0.86    0.85  9  12.393   0.831  11.562
1305  265.18   74.05    0.13    0.06  7  10.563   0.445  10.118
1604  302.51   54.44    0.98    0.39  23   9.505   0.787   8.718
1130  283.81   79.11    0.73    0.18  11   7.789   0.676   7.113
1667  262.28   68.79    0.57    0.24  2   8.181   0.377   7.804
4105  286.04   41.23    0.00    0.00  5   3.961   0.744   3.217
1488  279.70   69.59    0.22    0.20  7   3.939   0.590   3.349
1252  254.25   75.44    0.52    0.81  3  10.539   0.523  10.016
4081  292.46   44.65    0.37    0.08  15   4.706   0.154   4.552
1609  299.38   55.72    0.80    0.43  4   8.850   0.465   8.385
1322  260.24   73.20    0.70    0.23  10  10.450   0.141  10.309
1644  265.00   61.35    2.25    1.62  11   7.634   0.654   6.980
1408  274.55   71.78    0.43    0.17  10   7.204   0.282   6.922
1455  293.56   66.41    0.28    0.30  4   9.514   0.756   8.758
1180  268.38   78.23    0.52    0.09  5   9.408   0.935   8.473
1653  278.02   68.69    1.57    0.19  4   5.599   0.666   4.933
1654  278.18   69.31    1.41    0.19  9   5.820   0.843   4.977
1341  247.24   70.59    0.71    0.07  16  11.387   0.722  10.665
1175  272.53   79.51    0.05    0.02  5   8.441   0.453   7.988
1635  282.30   53.54    1.52    1.20  13   8.556   0.328   8.228
1133  285.32   78.64    0.91    0.29  29   9.735   0.706   9.029
1449  295.97   67.54    0.03    0.04  3  11.077   0.635  10.442
4089  289.23   42.73    0.44    0.09  7   7.850   0.731   7.119
1342  245.98   70.69    1.13    0.09  11  10.956   0.734  10.222
4120  284.65   39.06    0.22    0.20  9   8.653   0.230   8.423
4077  293.93   44.44    0.89    0.50  13  16.911   0.866  16.045
4068  298.15   47.28    0.46    0.21  12  13.077   0.387  12.690
1452  297.05   66.58    0.00    0.00  1   0.991   0.991   0.000
4007  306.41   48.93    0.52    0.70  12  14.446   0.936  13.510
4092  289.65   41.70    0.07    0.10  7   4.096   0.735   3.361
1331  251.14   69.10    2.08    0.27  3  10.390   0.511   9.879
1253  249.17   74.70    3.93    0.51  14  13.315   0.604  12.711
1251  253.67   76.05    0.00    0.00  1   0.703   0.703   0.000
1312  261.57   72.80    0.29    0.25  4   9.860   0.599   9.261
4110  286.44   40.87    1.22    0.15  9   8.997   0.693   8.304
1419  279.12   71.88    0.03    0.00  2   2.302   0.642   1.660
4049  289.13   46.86    0.12    0.29  7  12.842   1.144  11.698
4083  292.22   44.54    0.64    0.25  24  11.026   1.128   9.898
4052  291.31   48.36    0.81    0.38  35  14.762   1.156  13.606
1640  277.02   54.81    2.37    0.40  4   6.374   1.112   5.262
1601  303.19   51.54    0.47    0.28  26  13.250   1.034  12.216
4082  291.99   44.43    0.01    0.00  10  11.026   1.408   9.618
4108  286.05   41.06    0.11    0.89  28  10.863   1.313   9.550
1158  275.07   78.85    2.66    0.20  7   8.678   1.063   7.615
4100  287.09   41.24    0.17    0.14  8   7.660   1.066   6.594
1676  248.35   67.66    1.26    0.05  3  10.458   1.758   8.700
1335  244.10   69.33    0.84    0.13  26  10.846   1.069   9.777
1606  299.75   53.48    0.63    0.46  8   8.258   1.064   7.194
4063  295.62   45.82    1.19    0.45  24  10.133   1.493   8.640
4115  285.72   39.51    0.33    0.39  12   9.872   1.335   8.537
1652  277.43   68.34    0.04    0.11  2   6.876   1.475   5.401
4075  296.14   45.35    1.28    0.61  26  15.297   1.166  14.131
1612  297.01   58.58    0.57    0.37  8   8.698   1.576   7.122
1418  278.85   72.06    0.28    0.03  5   8.206   1.936   6.270
1476  290.27   62.76    0.58    0.32  14   8.749   1.193   7.556
1687  226.07   70.05    6.50    1.00  10  10.761   1.987   8.774
4106  286.10   41.04    0.02    0.07  11   7.728   1.313   6.415
1686  227.18   69.32    7.44    1.82  35  16.911   1.081  15.830
1314  263.00   73.07    0.40    0.14  8  10.253   1.258   8.995
1602  304.25   52.42    0.00    0.00  1   1.135   1.135   0.000
1422  280.79   71.97    0.63    0.05  3   9.132   1.975   7.157
1249  249.96   75.68    3.87    0.32  5  11.617   1.069  10.548
4088  289.37   42.92    0.40    0.41  21  15.736   1.493  14.243
1304  266.37   74.03    0.57    0.15  5   9.907   1.325   8.582
1672  252.70   67.86    2.50    1.29  12   9.922   1.946   7.976
4090  288.94   42.34    0.12    0.23  8   6.492   1.188   5.304
1339  244.67   70.26    0.67    0.06  16  11.578   1.017  10.561
1495  272.22   70.91    0.88    0.08  5   9.484   1.909   7.575
1234  264.30   74.62    0.23    0.05  4   9.918   1.294   8.624
4065  296.15   46.57    1.64    1.13  12  14.904   1.495  13.409
1333  246.78   68.65    0.39    0.27  15  10.420   1.058   9.362
1204  267.76   76.56    0.89    0.12  5   9.042   1.799   7.243
1617  294.07   58.77    0.29    0.31  9   8.114   1.452   6.662
1415  279.55   72.81    0.32    0.17  19  10.038   1.459   8.579
1605  301.49   54.17    1.09    0.23  4   7.611   1.986   5.625
1203  266.50   76.79    0.07    0.05  2   9.264   1.045   8.219
1466  294.44   62.90    0.95    0.40  15  12.354   1.433  10.921
4103  286.06   41.41    0.00    0.00  6   6.882   1.352   5.530
1622  287.32   61.94    0.92    0.60  13   9.350   1.186   8.164
1603  302.85   53.65    1.33    0.90  6  11.214   1.473   9.741
4079  293.86   45.21    0.41    0.20  21  15.753   1.810  13.943
1625  284.15   62.21    0.91    0.31  24   8.704   1.508   7.196
1229  265.11   76.12    0.01    0.00  2   4.983   1.232   3.751
1406  273.54   72.20    0.03    0.03  5   9.758   1.712   8.046
4019  300.70   47.73    0.16    0.24  8  16.749   1.121  15.628
1632  283.51   56.65    0.52    1.00  27   8.285   1.354   6.931
1326  255.67   71.38    0.00    0.00  1   1.862   1.862   0.000
4053  292.29   48.77    0.91    0.39  27  15.068   1.999  13.069
4119  284.52   39.30    0.16    0.19  6   7.714   1.289   6.425
1502  270.48   71.38    0.75    0.11  6   9.286   1.887   7.399
4003  303.21   49.82    0.04    0.06  3  13.053   1.244  11.809
1483  284.86   69.20    1.37    0.27  6   6.775   1.749   5.026
1306  265.08   72.82    1.27    0.20  7   9.997   1.873   8.124
1630  282.65   57.87    2.22    1.13  5   7.828   1.645   6.183
4122  283.90   39.00    0.00    0.00  1   1.103   1.103   0.000
1413  277.03   73.66    0.13    0.07  5   9.405   1.214   8.191
1624  285.75   62.67    0.24    0.01  3   7.990   1.814   6.176
1220  268.01   74.92    0.30    0.16  18   9.936   1.318   8.618
4076  294.64   43.96    1.85    0.53  5  14.574   1.298  13.276
4028  296.54   49.55    2.19    0.73  29  16.022   1.015  15.007
4121  284.63   39.11    0.24    0.33  9   8.653   1.886   6.767
1159  277.66   78.64    1.91    0.97  11   8.230   1.715   6.515
1225  267.48   76.08    0.36    0.12  9   8.752   1.310   7.442
4021  301.22   48.57    0.74    0.30  45  16.270   1.264  15.006
1231  265.30   75.38    0.00    0.00  1   1.604   1.604   0.000
1680  246.03   68.43    0.00    0.00  1   1.650   1.650   0.000
1607  299.80   54.77    0.95    0.28  5   8.522   1.003   7.519
1250  251.65   76.07    1.87    0.63  9  11.321   2.092   9.229
