KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1629  280.02   59.83    0.18    0.05  11   8.012   0.836   7.176
1628  282.23   60.41    2.23    0.73  20   8.260   0.307   7.953
1643  265.58   58.71    3.55    2.08  25   8.568   0.130   8.438
1645  266.14   63.69   11.99    2.00  20   7.482   0.457   7.025
1644  265.04   61.37    2.50    1.62  33   7.634   0.654   6.980
1647  276.05   64.57    3.47    1.85  36   8.297   0.601   7.696
1642  266.34   56.71    3.55    1.79  38   8.402   0.637   7.765
1623  285.77   62.19    1.05    0.40  59   9.991   0.376   9.615
1632  283.55   56.57    1.65    1.00  60   8.285   0.558   7.727
1634  282.38   54.73    9.20    6.92  211   8.556   0.087   8.469
1633  282.58   55.45    2.38    0.70  87   8.199   0.087   8.112
1635  282.15   53.63    1.93    1.54  25   8.556   0.328   8.228
1621  290.13   60.88    0.43    0.32  79   7.886   0.259   7.627
1619  290.03   59.37    0.91    1.43  37   8.170   0.351   7.819
1476  290.35   62.70    0.58    0.35  37   8.749   0.589   8.160
1620  292.06   60.50    0.47    0.12  7   8.352   0.978   7.374
1636  282.26   51.99    2.17    1.42  15   8.023   0.117   7.906
1461  291.63   63.63    1.33    0.41  31   9.875   0.522   9.353
1653  277.59   68.66    1.64    0.20  9   7.202   0.666   6.536
1654  278.09   69.32    1.73    0.40  31   6.349   0.843   5.506
1484  281.06   69.15    0.56    0.19  4   4.202   0.600   3.602
1662  267.89   68.62    3.78    1.07  11   9.531   0.927   8.604
1488  279.75   69.62    0.66    0.28  15   6.768   0.590   6.178
1617  294.00   58.74    0.69    0.32  18   8.114   0.308   7.806
1667  262.53   69.25    2.16    1.25  7   8.181   0.377   7.804
1487  281.16   69.85    0.97    0.46  16   6.224   0.754   5.470
1663  267.67   70.12    0.22    0.33  5   9.652   0.777   8.875
1456  292.34   66.59    0.62    0.08  7   6.817   0.602   6.215
1460  295.49   63.10    0.48    0.56  2  10.726   0.623  10.103
1455  293.50   66.45    0.46    0.34  5   9.514   0.552   8.962
1494  270.81   70.99    0.50    0.17  12   8.826   0.790   8.036
1613  296.37   59.06    0.41    0.26  9  11.068   0.130  10.938
1453  295.07   65.81    1.04    1.01  12  10.657   0.815   9.842
1409  275.52   71.50    0.33    0.23  23   7.608   0.944   6.664
1447  294.57   67.69    0.45    0.41  10   9.908   0.458   9.450
1407  273.88   71.79    0.28    0.11  30   8.775   0.116   8.659
1408  274.54   71.78    0.43    0.17  23   7.204   0.282   6.922
1665  264.50   71.12    0.19    0.32  2   9.719   0.151   9.568
1419  279.11   71.88    0.07    0.01  8   7.139   0.642   6.497
1452  297.05   66.58    0.00    0.00  1   0.991   0.991   0.000
1449  295.98   67.55    0.06    0.06  5  11.077   0.635  10.442
1406  273.54   72.19    0.04    0.06  18   9.758   0.791   8.967
1418  278.92   72.07    1.06    0.11  15   8.206   0.185   8.021
1405  273.74   72.41    0.07    0.06  19  10.027   0.405   9.622
1410  274.39   72.65    0.27    0.13  7   7.877   0.607   7.270
1329  253.69   69.46    2.22    0.27  18   9.391   0.973   8.418
1404  273.18   72.73    0.28    0.05  9  10.145   0.822   9.323
1301  266.14   72.25    0.64    0.43  13  10.122   0.552   9.570
1331  251.14   69.10    2.08    0.27  3  10.390   0.511   9.879
1610  298.52   56.82    1.98    1.20  34   8.515   0.600   7.915
1421  281.98   72.68    0.01    0.00  2   1.011   0.559   0.452
1302  266.39   72.82    1.01    0.21  14  10.114   0.609   9.505
1311  263.57   72.55    0.00    0.00  1   0.404   0.404   0.000
1414  279.37   73.03    0.00    0.03  34   3.852   0.619   3.233
1313  262.93   72.84    0.72    0.28  10   9.860   0.320   9.540
1314  263.00   73.06    0.42    0.16  9  10.253   0.108  10.145
1609  299.51   55.68    0.80    0.43  5   8.850   0.465   8.385
1312  261.58   72.75    0.29    0.30  4   9.860   0.599   9.261
1323  258.16   72.93    0.62    0.31  7  11.654   0.837  10.817
1322  260.29   73.21    0.70    0.23  8  10.450   0.141  10.309
1333  246.72   68.62    0.49    0.27  26  10.420   0.282  10.138
1305  265.12   74.03    0.57    0.19  8  10.563   0.445  10.118
1316  262.50   73.81    0.42    0.13  6  10.823   0.707  10.116
1352  252.32   71.93    1.86    0.60  10  11.429   0.599  10.830
1680  246.03   68.43    0.00    0.00  2   1.650   0.707   0.943
1319  260.82   73.94    0.32    0.03  3   1.763   0.589   1.174
1678  244.98   67.92    2.40    0.58  24  11.142   0.753  10.389
1607  299.78   54.75    0.95    0.28  7   8.522   0.787   7.735
4030  295.09   50.28    2.29    0.12  11  11.603   0.844  10.759
1340  246.72   70.23    1.18    0.12  9  11.729   0.601  11.128
4034  290.30   48.12    0.23    0.16  54  13.121   0.944  12.177
1630  282.91   57.82    2.88    1.13  14   7.828   1.025   6.803
1625  284.18   62.21    1.04    0.37  39   8.704   1.508   7.196
1640  276.25   54.32    4.05    1.88  10   7.814   1.112   6.702
1624  285.77   62.66    0.28    0.04  6   7.990   1.814   6.176
1622  287.25   61.98    0.92    0.62  21   9.350   1.186   8.164
1652  277.39   68.36    0.30    0.11  6   6.876   1.475   5.401
1483  284.91   69.21    1.82    0.34  11   7.361   1.634   5.727
1466  294.43   62.90    0.95    0.40  19  12.607   1.433  11.174
1493  272.91   70.42    1.87    0.32  9   9.636   1.061   8.575
1497  274.98   70.89    0.40    0.20  7   7.519   1.746   5.773
1495  272.34   70.92    0.97    0.08  9   9.484   1.909   7.575
1614  296.18   59.34    0.39    0.06  5  10.114   1.252   8.862
1502  270.43   71.39    0.75    0.15  7   9.286   1.887   7.399
1674  252.62   66.63    0.84    0.52  10   8.891   1.423   7.468
1612  297.05   58.56    0.57    0.37  13   8.698   1.120   7.578
1672  252.72   67.86    2.50    1.29  14   9.922   1.946   7.976
1328  255.01   69.14    0.40    0.05  3   8.469   1.952   6.517
1446  295.06   68.03    0.30    0.10  9  11.507   1.105  10.402
1422  281.07   71.93    0.98    0.13  7   9.132   1.975   7.157
1307  260.65   71.70    0.97    0.58  5   8.477   1.545   6.932
1415  279.60   72.80    0.32    0.17  27  10.038   1.087   8.951
1306  265.03   72.79    1.27    0.37  8   9.997   1.873   8.124
1326  255.67   71.38    0.00    0.00  1   1.862   1.862   0.000
1676  248.55   67.66    1.33    0.05  4  10.473   1.758   8.715
1413  277.03   73.66    0.13    0.07  5   9.405   1.214   8.191
1315  261.97   73.34    0.78    0.30  6  10.316   1.123   9.193
1303  269.37   73.94    0.00    0.03  2  10.049   1.513   8.536
1304  266.44   74.00    0.34    0.09  4   9.907   1.325   8.582
1324  257.46   72.86    0.26    0.23  7  11.141   1.310   9.831
