KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1101  273.25   81.97    1.75    0.18  7   9.393   7.980   1.413
1102  275.14   81.91    1.69    0.21  16   9.117   7.583   1.534
1103  278.05   82.03    0.00    0.01  4   9.103   7.265   1.838
1104  274.16   82.25    1.39    0.13  6   9.754   7.668   2.086
1127  285.05   79.47    0.12    0.15  3   7.901   6.304   1.597
1128  283.08   79.42    2.34    0.35  11   7.334   6.075   1.259
1129  284.75   79.16    1.53    0.25  9   8.194   6.810   1.384
1130  283.32   79.09    2.48    0.18  16   7.789   5.395   2.394
1131  281.64   78.93    0.88    0.30  5   6.879   5.472   1.407
1132  284.15   78.88    0.80    0.06  8   8.424   5.026   3.398
1133  285.34   78.64    0.91    0.25  28   9.735   5.034   4.701
1134  283.93   78.53    0.00    0.00  1   9.037   9.037   0.000
1135  278.27   77.62    0.42    0.32  11   9.197   6.053   3.144
1136  278.19   77.30    2.24    0.31  35  10.320   5.133   5.187
1137  282.20   76.80    0.00    0.01  2  10.077   9.692   0.385
1138  280.36   76.31    0.85    0.15  2   9.997   7.234   2.763
1139  280.97   75.88    0.04    0.02  9   9.865   6.836   3.029
1140  278.38   76.49    0.00    0.00  1   9.970   9.970   0.000
1141  277.78   76.83    1.03    0.07  2   9.270   8.908   0.362
1142  276.62   76.62    1.01    0.40  2   9.885   9.486   0.399
1143  275.47   76.72    0.00    0.00  1   7.866   7.866   0.000
1144  274.94   76.47    0.20    0.25  8  10.146   5.447   4.699
1145  273.77   76.49    0.98    0.32  5   9.734   5.453   4.281
1146  272.47   76.39    0.13    0.04  24  10.404   5.169   5.235
1147  272.33   76.66    0.20    0.08  4   9.957   9.117   0.840
1148  271.70   76.47    0.00    0.00  1   9.592   9.592   0.000
1149  271.51   77.00    1.27    0.18  3   9.218   7.682   1.536
1150  270.05   77.27    0.00    0.00  1   8.420   8.420   0.000
1151  273.30   77.85    0.89    0.06  8   9.459   6.666   2.793
1152  274.62   77.29    0.00    0.00  1   8.490   8.490   0.000
1153  277.87   78.09    0.07    0.05  2   7.536   7.519   0.017
1154  275.10   77.56    0.72    0.08  3   8.907   8.447   0.460
1155  275.31   78.20    1.87    0.55  14   9.415   5.103   4.312
1156  273.77   78.26    1.68    0.28  14   9.405   6.079   3.326
1157  273.12   78.57    0.55    0.13  3   9.684   8.769   0.915
1158  275.11   78.84    2.66    0.20  6   8.678   7.643   1.035
1159  277.59   78.66    1.91    0.97  14   8.230   5.624   2.606
1160  274.81   79.87    2.44    1.05  36   9.655   5.535   4.120
1161  279.04   79.66    1.85    0.18  10   9.007   6.880   2.127
1162  278.14   79.95    1.04    0.08  4   8.406   7.116   1.290
1163  277.53   80.15    0.50    0.15  3   9.510   8.542   0.968
1164  278.96   80.41    1.86    0.12  11   9.192   6.630   2.562
1165  280.88   80.60    1.20    0.00  6   9.687   7.819   1.868
1168  279.42   80.71    0.01    0.02  3   9.390   6.586   2.804
1169  275.71   80.52    0.08    0.00  2  21.006   7.893  13.113
1170  274.85   81.08    0.15    0.00  2   9.227   8.638   0.589
1171  271.38   81.06    2.88    0.09  14   9.832   6.013   3.819
1172  270.51   81.24    1.22    0.22  5   9.170   5.730   3.440
1173  268.56   80.90    1.53    0.38  4   8.839   5.122   3.717
1174  271.07   80.38    2.57    0.28  7   9.379   6.618   2.761
1175  272.55   79.52    0.00    0.00  4   8.441   5.134   3.307
1176  272.39   79.41    0.58    0.82  2   8.273   8.127   0.146
1177  271.40   78.32    0.29    0.06  2   9.202   7.803   1.399
1178  270.67   78.34    0.87    0.35  2   9.158   8.876   0.282
1179  269.52   78.23    0.00    0.00  1   5.861   5.861   0.000
1180  268.38   78.24    0.47    0.05  3   9.408   7.019   2.389
1181  267.24   78.59    1.29    0.16  5   9.504   5.318   4.186
1183  266.13   79.02    0.00    0.00  1   8.907   8.907   0.000
1184  268.12   79.16    1.13    0.05  4   9.025   6.453   2.572
1185  269.83   79.27    0.16    0.02  5   9.025   8.037   0.988
1186  269.16   79.39    0.57    0.07  12   9.726   5.739   3.987
1187  268.29   79.35    0.74    0.07  6   8.969   7.666   1.303
1188  261.23   79.75    0.00    0.00  1   9.221   9.221   0.000
1189  262.69   78.48    2.84    0.77  9  11.143   8.174   2.969
1190  258.76   78.35    4.73    1.30  22  11.404   7.183   4.221
1191  258.38   77.75    0.00    0.00  1   9.577   9.577   0.000
1192  265.10   77.67    1.20    0.27  8   9.796   8.069   1.727
1201  264.66   76.99    0.13    0.06  4   9.414   5.414   4.000
1202  265.68   76.89    0.76    0.10  7   9.498   5.521   3.977
1203  266.50   76.77    0.08    0.00  2   9.264   7.852   1.412
1204  267.95   76.52    0.83    0.05  6   9.042   6.362   2.680
1205  269.51   76.77    0.00    0.00  1   8.051   8.051   0.000
