KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
N1  304.20   51.50    0.00    0.00  44   0.013   0.000   0.013
N2  295.70   59.80    0.00    0.00  6   0.010   0.009   0.001
N3  290.00   59.40    0.00    0.00  36   0.008   0.000   0.008
N4  285.60   62.10    0.00    0.00  41   0.010   0.000   0.010
N5  282.10   53.60    0.00    0.00  23   0.009   0.000   0.008
N6  265.60   58.70    0.00    0.00  20   0.009   0.000   0.008
N7  244.90   67.90    0.00    0.00  23   0.011   0.001   0.010
N8  232.00   52.00    0.00    0.00  29   0.014   0.000   0.014
N9  236.80   49.60    0.00    0.00  8   0.013   0.011   0.002
N10  263.20   28.20    0.00    0.00  50   0.012   0.000   0.012
N11  269.80   30.00    0.00    0.00  52   0.014   0.002   0.012
N12  279.80   25.40    0.00    0.00  34   0.011   0.002   0.009
N13  279.60   32.70    0.00    0.00  18   0.006   0.001   0.006
N14  286.10   41.20    0.00    0.00  44   0.011   0.001   0.010
N15  289.50   41.60    0.00    0.00  36   0.011   0.000   0.010
N16  289.90   43.60    0.00    0.00  45   0.010   0.000   0.010
N17  295.70   45.80    0.00    0.00  37   0.012   0.001   0.012
N18  290.50   47.80    0.00    0.00  47   0.014   0.000   0.013
