KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1461  291.40   63.63    0.26    0.35  8   9.544   0.522   9.022
1467  282.25   63.95    0.00    0.00  1   7.931   7.931   0.000
1475  291.53   62.27    0.36    0.06  3   9.195   8.297   0.898
1476  290.35   62.70    0.58    0.35  37   8.749   0.589   8.160
1477  289.55   62.62    0.40    0.12  8   8.871   6.981   1.890
1478  288.65   63.08    0.00    0.00  1   8.381   8.381   0.000
1479  283.50   64.37    0.95    0.57  6   8.646   5.831   2.815
1480  282.96   63.52    0.51    0.16  3   8.569   3.362   5.207
1481  282.01   63.32    0.25    0.31  6   8.019   6.426   1.593
1482  287.65   65.60    1.65    0.71  4   7.485   4.855   2.630
1618  290.50   57.66    0.00    0.00  1   7.414   7.414   0.000
1619  290.03   59.37    0.91    1.43  37   8.170   0.351   7.819
1620  291.84   60.51    0.32    0.12  2   8.352   0.978   7.374
1621  290.13   60.88    0.43    0.32  79   7.886   0.259   7.627
1622  287.25   61.98    0.92    0.62  21   9.350   1.186   8.164
1623  285.77   62.19    1.05    0.40  59   9.991   0.376   9.615
1624  285.77   62.66    0.28    0.04  6   7.990   1.814   6.176
1625  284.18   62.21    1.04    0.37  39   8.704   1.508   7.196
1626  282.26   62.19    1.05    1.09  17   8.072   2.368   5.704
1627  280.00   62.00    0.00    0.00  3   7.722   6.971   0.751
1628  282.23   60.41    2.23    0.73  20   8.260   0.307   7.953
1629  280.02   59.83    0.18    0.05  11   8.012   0.836   7.176
1630  282.91   57.82    2.88    1.13  14   7.828   1.025   6.803
1631  280.79   56.66    0.01    0.00  4   3.077   2.330   0.747
1632  283.55   56.57    1.65    1.00  60   8.285   0.558   7.727
1633  282.58   55.45    2.38    0.70  87   8.199   0.087   8.112
1634  282.84   55.47    3.78    4.72  178   8.556   0.087   8.469
1635  282.15   53.63    1.93    1.54  25   8.556   0.328   8.228
1636  282.28   52.50    1.22    0.59  6   8.023   0.117   7.906
1639  276.34   51.47    2.25    0.86  4   8.276   4.411   3.865
1640  276.25   54.32    4.05    1.88  10   7.814   1.112   6.702
1641  272.42   55.24    1.42    1.17  4   7.980   3.212   4.768
1642  266.34   56.71    3.55    1.79  38   8.402   0.637   7.765
1643  265.58   58.71    3.55    2.08  25   8.568   0.130   8.438
1644  265.04   61.37    2.50    1.62  33   7.634   0.654   6.980
1645  266.14   63.69   11.99    2.00  20   7.482   0.457   7.025
1646  277.00   62.50    0.00    0.00  1   6.375   6.375   0.000
1647  276.05   64.57    3.47    1.85  36   8.297   0.601   7.696
1648  269.77   66.17    0.00    0.00  1   6.015   6.015   0.000
1649  273.71   66.59    1.52    0.34  9   7.729   2.903   4.826
1650  277.79   67.88    0.15    0.06  3   7.472   6.765   0.707
1651  277.30   68.15    0.50    0.28  3   7.320   6.404   0.916
1652  277.39   68.36    0.30    0.11  6   6.876   1.475   5.401
1653  277.25   68.62    0.20    0.20  7   7.202   2.142   5.060
1658  275.13   68.76    0.50    0.18  7   7.478   2.541   4.937
1659  274.24   68.24    0.02    0.06  2   6.975   6.606   0.369
1660  271.58   67.82    0.00    0.00  1   9.256   9.256   0.000
1662  269.18   68.27    2.00    0.42  5   9.531   5.171   4.360
1668  263.70   66.13    0.00    0.00  1   6.604   6.604   0.000
