KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1135  278.27   77.62    0.42    0.32  11   9.197   6.053   3.144
1136  278.25   77.30    2.24    0.31  42  10.320   2.024   8.296
1137  282.20   76.80    0.00    0.01  2  10.077   9.692   0.385
1138  280.36   76.31    0.85    0.15  2   9.997   7.234   2.763
1139  280.97   75.88    0.04    0.02  9   9.865   6.836   3.029
1140  278.38   76.49    0.00    0.00  1   9.970   9.970   0.000
1141  277.78   76.83    1.03    0.07  2   9.270   8.908   0.362
1142  276.62   76.62    1.01    0.40  2   9.885   9.486   0.399
1143  275.47   76.72    0.00    0.00  1   7.866   7.866   0.000
1144  274.96   76.46    0.20    0.25  11  10.146   2.848   7.298
1145  273.77   76.49    0.98    0.32  5   9.734   5.453   4.281
1146  272.49   76.39    0.50    0.05  36  10.404   0.067  10.337
1147  272.44   76.61    0.62    0.28  5   9.957   0.659   9.298
1148  271.70   76.47    0.00    0.00  1   9.592   9.592   0.000
1149  271.51   77.00    1.27    0.18  3   9.218   7.682   1.536
1150  270.05   77.27    0.00    0.00  1   8.420   8.420   0.000
1151  273.24   77.86    1.09    0.06  18   9.459   2.347   7.112
1152  275.07   77.30    0.91    0.01  2   8.490   0.750   7.740
1154  275.10   77.56    0.72    0.08  3   8.907   8.447   0.460
1192  264.94   77.59    1.20    0.19  4   9.444   8.532   0.912
1201  264.43   77.01    1.47    0.10  8   9.414   0.913   8.501
1202  265.68   76.91    0.97    0.11  16   9.498   1.131   8.367
1203  266.52   76.79    0.08    0.05  4   9.264   1.045   8.219
1204  267.86   76.56    0.89    0.12  10   9.042   1.674   7.368
1205  269.51   76.77    0.00    0.00  1   8.051   8.051   0.000
1206  269.43   76.50    0.00    0.00  1   3.887   3.887   0.000
1207  269.54   76.18    2.20    0.50  8  10.304   3.983   6.321
1208  269.93   75.79    0.00    0.00  1   9.622   9.622   0.000
1209  271.02   75.45    1.36    0.20  5   9.705   3.270   6.435
1210  272.40   75.43    0.00    0.00  1  10.032  10.032   0.000
1211  274.34   75.56    0.44    0.05  15   8.757   3.563   5.194
1212  275.42   75.66    0.29    0.14  27  10.696   2.533   8.163
1213  276.17   75.78    0.45    0.03  15  10.521   3.535   6.986
1214  276.37   74.57    0.48    0.15  19  10.957   9.040   1.917
1215  274.43   74.69    0.02    0.00  2   9.724   9.654   0.070
1216  273.20   74.62    0.00    0.00  1   9.694   9.694   0.000
1217  271.58   74.80    0.00    0.09  2   9.414   8.905   0.509
1218  269.42   74.90    0.00    0.00  1   8.751   8.751   0.000
1219  268.66   74.65    0.20    0.12  8  10.525   1.999   8.526
1220  268.01   74.91    0.30    0.16  23   9.936   1.318   8.618
1221  268.11   75.16    0.24    0.06  2   9.399   9.262   0.137
1222  267.76   75.39    0.00    0.00  1   9.555   9.555   0.000
1223  268.11   75.66    0.54    0.10  6   8.739   0.937   7.802
1224  268.79   75.76    0.00    0.00  1   8.844   8.844   0.000
1225  267.48   76.06    0.62    0.23  15   8.752   0.328   8.424
1226  266.60   76.32    1.63    0.21  25   9.187   0.571   8.616
1227  265.03   76.31    0.99    0.15  18   9.209   1.355   7.854
1228  264.46   76.58    0.02    0.00  2   9.112   7.777   1.335
1229  265.11   76.12    0.01    0.00  3   4.983   0.827   4.156
1230  265.44   75.79    0.43    0.02  2   9.277   5.738   3.539
1231  265.26   75.38    0.08    0.00  2   5.409   1.604   3.805
1232  263.91   75.06    0.12    0.05  2   8.399   7.484   0.915
1233  265.12   74.72    0.57    0.14  31  10.210   3.575   6.635
1234  264.28   74.61    0.23    0.09  5   9.918   1.294   8.624
1235  262.45   74.56    0.37    0.12  11  10.401   0.481   9.920
1236  263.13   75.37    0.34    0.06  9   9.886   3.424   6.462
1237  261.32   75.26    3.05    0.75  14  10.183   1.025   9.158
1238  261.35   75.77    3.54    0.49  26  10.557   1.739   8.818
1239  260.67   76.30    3.23    0.63  28  10.823   6.324   4.499
1240  259.95   76.45    0.00    0.00  5   8.836   8.114   0.722
1241  257.67   75.58    0.86    0.07  4  10.719   8.640   2.079
1242  255.41   75.09    0.38    0.05  2  10.748  10.344   0.404
1243  262.74   75.51    0.03    0.02  3   3.174   2.198   0.976
1244  257.60   76.04    2.04    0.38  6  10.918   7.306   3.612
1245  256.34   76.43    1.64    0.27  9  11.796   0.828  10.968
1246  258.73   76.81    0.08    0.00  3   2.732   0.803   1.929
1249  250.48   75.65    2.87    0.32  4  11.617   7.485   4.132
1250  251.89   75.96    1.70    0.32  8  10.162   0.774   9.388
1251  253.67   76.05    0.00    0.00  1   0.703   0.703   0.000
1252  254.03   75.42    1.85    1.05  11  10.539   0.125  10.414
1253  249.32   74.73    3.93    0.64  18  13.315   0.604  12.711
1254  246.44   74.83    0.28    0.03  2  13.175  12.535   0.640
1301  266.13   72.25    0.64    0.43  15  10.122   0.552   9.570
1302  266.40   72.83    1.01    0.21  18  10.114   0.609   9.505
