KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1459  294.95   63.67    0.10    0.24  4  10.257   6.268   3.989
1460  295.49   63.10    0.48    0.56  2  10.726   0.623  10.103
1461  291.63   63.63    1.33    0.41  31   9.875   0.522   9.353
1462  291.80   63.24    0.38    0.05  10  10.025   8.303   1.722
1463  293.06   63.08    0.10    0.07  3  10.360   9.719   0.641
1464  293.52   63.06    0.02    0.02  4  10.436   8.904   1.532
1465  293.47   62.90    0.00    0.00  2  10.684  10.268   0.416
1466  294.43   62.90    0.95    0.40  19  12.607   1.433  11.174
1467  282.25   63.95    0.00    0.00  1   7.931   7.931   0.000
1468  295.28   62.46    0.41    0.10  7  13.119  11.305   1.814
1469  292.97   62.67    0.11    0.00  2  10.045  10.043   0.002
1470  293.66   62.36    0.58    0.40  28  11.031   4.722   6.309
1471  293.89   62.08    0.10    0.15  13  10.355   9.042   1.313
1472  295.00   61.78    0.00    0.00  2  10.201  10.038   0.163
1473  292.63   62.13    0.02    0.01  4  10.563   8.548   2.015
1474  292.21   62.22    0.13    0.01  2   8.847   8.035   0.812
1475  291.53   62.27    0.36    0.06  3   9.195   8.297   0.898
1476  290.35   62.70    0.58    0.35  37   8.749   0.589   8.160
1477  289.55   62.62    0.40    0.12  8   8.871   6.981   1.890
1478  288.65   63.08    0.00    0.00  1   8.381   8.381   0.000
1480  282.96   63.52    0.51    0.16  3   8.569   3.362   5.207
1481  282.01   63.32    0.25    0.31  6   8.019   6.426   1.593
1601  303.21   51.55    0.47    0.28  48  13.250   0.619  12.631
1602  304.22   52.70    0.34    0.50  6   5.820   0.981   4.839
1603  303.04   53.72    1.33    0.90  14  11.214   0.965  10.249
1604  302.51   54.44    0.98    0.41  51   9.505   0.383   9.122
1605  301.59   54.19    1.17    0.35  8  11.845   0.679  11.166
1606  299.75   53.48    0.63    0.46  13   8.258   0.814   7.444
1607  299.83   54.76    0.95    0.28  8   8.522   0.787   7.735
1608  300.60   55.21    2.12    0.14  11  11.810   3.505   8.305
1609  299.46   55.75    0.80    0.45  8   8.850   0.465   8.385
1610  298.54   56.75    1.98    1.20  54   8.515   0.600   7.915
1611  297.00   58.07    0.58    0.23  3   7.373   4.722   2.651
1612  297.02   58.55    0.57    0.37  15   8.698   1.120   7.578
1613  296.37   59.06    0.41    0.26  9  11.068   0.130  10.938
1614  296.18   59.34    0.39    0.06  5  10.114   1.252   8.862
1615  295.59   59.91    0.43    0.30  7   9.931   8.679   1.252
1616  295.18   60.42    0.00    0.00  2   5.822   5.728   0.094
1617  294.00   58.74    0.69    0.32  18   8.114   0.308   7.806
1618  291.64   58.05    1.70    0.57  5   7.476   2.394   5.082
1619  290.03   59.37    0.91    1.43  37   8.170   0.351   7.819
1620  292.06   60.50    0.47    0.12  7   8.352   0.978   7.374
1621  290.13   60.88    0.43    0.32  79   7.886   0.259   7.627
1622  287.25   61.98    0.92    0.62  21   9.350   1.186   8.164
1623  285.77   62.19    1.05    0.40  59   9.991   0.376   9.615
1624  285.77   62.66    0.28    0.04  6   7.990   1.814   6.176
1625  284.18   62.21    1.04    0.37  39   8.704   1.508   7.196
1626  282.26   62.19    1.05    1.09  17   8.072   2.368   5.704
1627  280.00   62.00    0.00    0.00  3   7.722   6.971   0.751
1628  282.23   60.41    2.23    0.73  20   8.260   0.307   7.953
1629  280.02   59.83    0.18    0.05  11   8.012   0.836   7.176
1630  282.91   57.82    2.88    1.13  14   7.828   1.025   6.803
1631  280.79   56.66    0.01    0.00  4   3.077   2.330   0.747
1632  283.55   56.57    1.65    1.00  60   8.285   0.558   7.727
1633  282.58   55.45    2.38    0.70  87   8.199   0.087   8.112
1634  282.38   54.73    9.20    6.92  211   8.556   0.087   8.469
1635  282.15   53.63    1.93    1.54  25   8.556   0.328   8.228
1636  282.26   51.99    2.17    1.42  15   8.023   0.117   7.906
1637  281.64   50.60    1.99    0.61  9   7.729   4.227   3.502
1638  277.46   50.27    2.75    0.57  15   8.464   4.631   3.833
1639  276.34   51.47    2.25    0.86  4   8.276   4.411   3.865
1640  276.25   54.32    4.05    1.88  10   7.814   1.112   6.702
1641  272.42   55.24    1.42    1.17  4   7.980   3.212   4.768
1642  266.34   56.71    3.55    1.79  38   8.402   0.637   7.765
