KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
F1   29.40   70.10    0.00    0.00  18   0.010   0.000   0.010
F2   19.00   69.80    0.00    0.00  12   0.015   0.002   0.012
F3   10.90   63.60    0.00    0.00  9   0.012   0.004   0.008
F4    5.10   60.30    0.00    0.00  38   0.014   0.002   0.012
F5    9.40   58.90    0.00    0.00  15   0.010   0.002   0.008
F6   10.80   59.80    0.00    0.00  15   0.013   0.003   0.009
F7   12.00   57.40    0.00    0.00  11   0.012   0.002   0.010
F8   17.70   59.50    0.00    0.00  47   0.010   0.000   0.010
F9   19.90   64.00    0.00    0.00  4   0.009   0.003   0.006
F10   23.30   60.10    0.00    0.00  49   0.009   0.001   0.008
F11   24.90   59.40    0.00    0.00  17   0.008   0.002   0.006
F12   10.70   57.70    0.00    0.00  24   0.006   0.002   0.004
